Universidad,Categoría,Régimen,PU,AG,II,EN,RO,LA,EF,CR,EM,BU,AY
EPN,A,PÚBLICO,83.24,10.00,9.14,9.64,8.00,6.50,6.07,5.00,2.50,8.00,3.60
ESPOL,A,PÚBLICO,73.28,9.78,9.00,9.57,8.00,6.50,5.42,5.00,0.63,8.00,3.60
USFQ ,A,PARTICULAR,76.75,8.80,6.86,7.21,4.67,7.80,7.14,6.25,8.00,9.13,6.80
UC,A,PÚBLICO,72.24,7.45,6.57,7.38,6.67,6.05,8.57,5.56,8.00,6.81,4.00
ESPE,A,PÚBLICO,38.96,9.67,6.86,4.50,5.00,2.20,0.00,1.00,0.50,7.43,4.00
ESPOCH,B,PÚBLICO,90.70,7.67,9.71,9.55,9.75,9.44,10.00,10.00,10.00,7.13,9.00
PUCE,B,COFINANCIADO,93.58,8.70,9.71,9.56,9.83,9.33,10.00,10.00,10.00,8.86,8.80
UCSG,B,COFINANCIADO,93.20,8.90,10.00,9.64,10.00,8.70,7.92,10.00,9.50,8.63,5.00
UCE,B,PÚBLICO,84.78,9.70,6.57,8.86,10.00,9.30,10.00,10.00,10.00,6.75,9.60
UCACUE,B,COFINANCIADO,88.95,6.67,7.50,9.46,9.17,8.06,8.57,10.00,8.33,8.44,9.80
UDA,B,COFINANCIADO,96.68,9.25,10.00,10.00,10.00,8.61,10.00,10.00,10.00,10.00,10.00
UNL,B,PÚBLICO,85.65,9.60,8.17,8.07,9.25,7.90,7.86,8.00,7.50,9.38,9.40
UPS,B,COFINANCIADO,94.11,9.35,9.80,9.86,8.17,9.80,8.21,10.00,10.00,9.13,9.20
UTA,B,PÚBLICO,86.04,9.60,7.00,9.75,9.67,8.85,6.07,8.50,8.33,8.75,9.20
UTN,B,PÚBLICO,89.20,9.20,8.57,9.21,9.08,8.00,8.21,8.00,9.58,9.38,9.60
UTPL,B,PARTICULAR,71.00,9.30,5.07,5.96,7.80,6.70,6.79,5.75,7.08,7.06,8.50
UTI,B,PARTICULAR,57.80,8.50,7.07,6.14,4.75,6.30,6.07,6.00,5.42,6.25,8.00
UEA,B,PÚBLICO,89.15,8.50,7.79,5.58,4.92,6.00,7.14,6.50,6.25,6.63,8.20
UDLA,B,PARTICULAR,93.83,8.00,7.86,7.50,7.50,7.50,7.86,6.67,7.50,7.50,0.01
UIDE,B,PARTICULAR,96.59,7.50,10.00,10.00,10.00,6.00,0.00,0.00,10.00,10.00,10.00
UEB,C,PÚBLICO,96.78,10.00,10.00,2.14,4.17,7.50,7.50,0.01,10.00,5.75,9.25
UNACH,C,PÚBLICO,94.44,10.00,9.86,9.86,9.83,9.80,10.00,9.00,8.33,8.38,0.01
UNIANDES,C,PARTICULAR,92.62,9.60,9.57,9.41,8.67,9.00,10.00,10.00,10.00,8.38,9.80
UTB,C,PÚBLICO,71.00,8.90,7.86,10.00,4.17,7.50,10.00,10.00,10.00,8.38,9.80
